name,imo,mmsi,detail_url,source
VOLGONEFT-111,8230663,273436920,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/841,GUR War & Sanctions – Marine vessels
VOLGONEFT-251,8231057,273349500,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1045,GUR War & Sanctions – Marine vessels
PARTIZANSK,8700096,273336730,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/988,GUR War & Sanctions – Marine vessels
VANINO,8724779,273331620,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1240,GUR War & Sanctions – Marine vessels
VOLGONEFT-105,8727915,273311170,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/842,GUR War & Sanctions – Marine vessels
KAPITAN PSHENITSIN,8727941,273344600,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1097,GUR War & Sanctions – Marine vessels
BRONCO,8808525,511101785,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1029,GUR War & Sanctions – Marine vessels
NIMBUS SPB,8821761,273350170,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/981,GUR War & Sanctions – Marine vessels
VOLGONEFT-160,8867129,273341100,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1044,GUR War & Sanctions – Marine vessels
OLEG PERVAK,8881369,273451910,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1130,GUR War & Sanctions – Marine vessels
IGOR ORLOV,8892007,273270200,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/843,GUR War & Sanctions – Marine vessels
AGINSKOYE,8894536,273554300,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1079,GUR War & Sanctions – Marine vessels
VOLGONEFT-217,8925414,273310170,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/844,GUR War & Sanctions – Marine vessels
VOLGONEFT-117,8925426,273437920,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/845,GUR War & Sanctions – Marine vessels
GLOBAL ASPHALT,9005338,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1112,GUR War & Sanctions – Marine vessels
FOGAS,9012886,620800106,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1270,GUR War & Sanctions – Marine vessels
MILLEROVO,9035541,273351980,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/924,GUR War & Sanctions – Marine vessels
ZIRAN,9041655,750767000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1285,GUR War & Sanctions – Marine vessels
IMMANUEL,9056571,273378220,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/987,GUR War & Sanctions – Marine vessels
OSTROV RUSSKIY,9087714,273610060,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1018,GUR War & Sanctions – Marine vessels
ITAUGUA,9102277,620999528,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/818,GUR War & Sanctions – Marine vessels
NOBEL,9105114,613709612,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/925,GUR War & Sanctions – Marine vessels
TAIMYR,9105140,273432830,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/857,GUR War & Sanctions – Marine vessels
GLOBAL CREST,9113094,372463000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1114,GUR War & Sanctions – Marine vessels
MT KONSTANTINOVSK,9113276,273454260,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1042,GUR War & Sanctions – Marine vessels
TONDA SOURCE,9127667,603898000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1180,GUR War & Sanctions – Marine vessels
ORION,9131357,613003807,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/610,GUR War & Sanctions – Marine vessels
CARUZO,9137648,667002403,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/858,GUR War & Sanctions – Marine vessels
OKEAN,9142916,273378580,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1017,GUR War & Sanctions – Marine vessels
BODHI,9144782,613003728,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/261,GUR War & Sanctions – Marine vessels
